method,query_id,query_type,positive_page_ids,candidate_universe,rank,page_id,score
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.417554935706
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.393054889092
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.393054889092
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,4,manual-c-p02,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,5,manual-c-p03,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,6,manual-c-p06,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.391279610188
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.676674159059
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.603174019218
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.603174019218
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,4,manual-c-p02,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,5,manual-c-p03,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,6,manual-c-p06,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.600538916373
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.848701556991
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,2,manual-c-p06,0.796178721467
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,3,manual-c-p04,0.77520141715
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,4,manual-c-p05,0.77520141715
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,5,manual-c-p02,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,6,manual-c-p03,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.771684562141
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,1,manual-c-p02,3.85381350305
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,5,manual-c-p03,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,6,manual-c-p06,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,7,manual-c-p07,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.252688353684
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,1,manual-c-p02,4.14461551715
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.570331599854
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.54583155324
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.54583155324
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,5,manual-c-p03,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,6,manual-c-p06,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,7,manual-c-p07,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.543490367783
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,1,manual-c-p07,4.01964376174
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,5,manual-c-p02,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,6,manual-c-p03,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,7,manual-c-p06,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.443012771695
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,1,manual-c-p03,6.02253395003
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,2,manual-c-p01,0.685016531809
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,3,manual-c-p06,0.682081624288
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,4,manual-c-p04,0.660516485195
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,5,manual-c-p05,0.660516485195
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,6,manual-c-p02,0.657587464962
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.657587464962
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.657587464962
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,1,manual-c-p03,5.85138830426
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,2,manual-c-p01,0.512989133876
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,3,manual-c-p04,0.488489087263
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,4,manual-c-p05,0.488489087263
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,5,manual-c-p02,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,6,manual-c-p06,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.486441819194
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,1,manual-c-p02,2.06549800803
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,2,manual-c-p03,2.04100384871
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,3,manual-c-p01,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,4,manual-c-p04,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,5,manual-c-p05,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,6,manual-c-p06,0.252688353684
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.252688353684
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.252688353684
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,1,manual-c-p04,4.14088955089
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,2,manual-c-p01,0.570331599854
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,3,manual-c-p05,0.54583155324
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,4,manual-c-p02,0.543490367783
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,5,manual-c-p03,0.543490367783
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,6,manual-c-p06,0.543490367783
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,7,manual-c-p07,0.543490367783
bm25,manual-c-p04-q01,text,manual-c-p04,evaluated_split_pages,8,manual-c-p08,0.543490367783
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,1,manual-c-p01,2.15774146855
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,2,manual-c-p04,0.335712423115
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,3,manual-c-p05,0.335712423115
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,4,manual-c-p02,0.334231061599
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,5,manual-c-p03,0.334231061599
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,6,manual-c-p06,0.334231061599
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,7,manual-c-p07,0.334231061599
bm25,manual-c-p04-q02,table,manual-c-p04,evaluated_split_pages,8,manual-c-p08,0.334231061599
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,1,manual-c-p04,4.25557448285
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,2,manual-c-p01,0.685016531809
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,3,manual-c-p06,0.682081624288
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,4,manual-c-p05,0.660516485195
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,5,manual-c-p02,0.657587464962
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,6,manual-c-p03,0.657587464962
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,7,manual-c-p07,0.657587464962
bm25,manual-c-p04-q03,layout,manual-c-p04,evaluated_split_pages,8,manual-c-p08,0.657587464962
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,1,manual-c-p05,4.14088955089
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,2,manual-c-p01,0.570331599854
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,3,manual-c-p04,0.54583155324
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,4,manual-c-p02,0.543490367783
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,5,manual-c-p03,0.543490367783
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,6,manual-c-p06,0.543490367783
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,7,manual-c-p07,0.543490367783
bm25,manual-c-p05-q01,text,manual-c-p05,evaluated_split_pages,8,manual-c-p08,0.543490367783
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,1,manual-c-p02,2.12254655662
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,2,manual-c-p01,0.360212469728
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,3,manual-c-p04,0.335712423115
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,4,manual-c-p05,0.335712423115
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,5,manual-c-p03,0.334231061599
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,6,manual-c-p06,0.334231061599
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,7,manual-c-p07,0.334231061599
bm25,manual-c-p05-q02,table,manual-c-p05,evaluated_split_pages,8,manual-c-p08,0.334231061599
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,1,manual-c-p07,4.01964376174
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,2,manual-c-p01,0.444738306864
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,3,manual-c-p04,0.444738306864
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,4,manual-c-p05,0.444738306864
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,5,manual-c-p02,0.443012771695
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,6,manual-c-p03,0.443012771695
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,7,manual-c-p06,0.443012771695
bm25,manual-c-p05-q03,ocr_failure,manual-c-p05,evaluated_split_pages,8,manual-c-p08,0.443012771695
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,1,manual-c-p06,2.63348253514
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,2,manual-c-p01,0.799701463764
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,3,manual-c-p04,0.77520141715
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,4,manual-c-p05,0.77520141715
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,5,manual-c-p02,0.771684562141
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,6,manual-c-p03,0.771684562141
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,7,manual-c-p07,0.771684562141
bm25,manual-c-p06-q01,layout,manual-c-p06,evaluated_split_pages,8,manual-c-p08,0.771684562141
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,1,manual-c-p02,2.06549800803
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,2,manual-c-p06,2.04100384871
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,3,manual-c-p01,0.253869910524
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,4,manual-c-p04,0.253869910524
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,5,manual-c-p05,0.253869910524
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,6,manual-c-p03,0.252688353684
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,7,manual-c-p07,0.252688353684
bm25,manual-c-p06-q02,figure,manual-c-p06,evaluated_split_pages,8,manual-c-p08,0.252688353684
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,1,manual-c-p06,2.43784273005
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,2,manual-c-p01,0.627674065831
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,3,manual-c-p04,0.603174019218
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,4,manual-c-p05,0.603174019218
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,5,manual-c-p02,0.600538916373
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,6,manual-c-p03,0.600538916373
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,7,manual-c-p07,0.600538916373
bm25,manual-c-p06-q03,text,manual-c-p06,evaluated_split_pages,8,manual-c-p08,0.600538916373
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,1,manual-c-p07,4.01964376174
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,2,manual-c-p01,0.444738306864
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,3,manual-c-p04,0.444738306864
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,4,manual-c-p05,0.444738306864
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,5,manual-c-p02,0.443012771695
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,6,manual-c-p03,0.443012771695
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,7,manual-c-p06,0.443012771695
bm25,manual-c-p07-q01,ocr_failure,manual-c-p07,evaluated_split_pages,8,manual-c-p08,0.443012771695
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,1,manual-c-p07,5.85138830426
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,2,manual-c-p01,0.512989133876
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,3,manual-c-p04,0.488489087263
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,4,manual-c-p05,0.488489087263
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,5,manual-c-p02,0.486441819194
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,6,manual-c-p03,0.486441819194
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,7,manual-c-p06,0.486441819194
bm25,manual-c-p07-q02,text,manual-c-p07,evaluated_split_pages,8,manual-c-p08,0.486441819194
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,1,manual-c-p07,6.02253395003
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,2,manual-c-p01,0.685016531809
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,3,manual-c-p06,0.682081624288
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,4,manual-c-p04,0.660516485195
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,5,manual-c-p05,0.660516485195
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,6,manual-c-p02,0.657587464962
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,7,manual-c-p03,0.657587464962
bm25,manual-c-p07-q03,layout,manual-c-p07,evaluated_split_pages,8,manual-c-p08,0.657587464962
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,1,manual-c-p08,4.20166406574
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,2,manual-c-p01,0.627674065831
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,3,manual-c-p04,0.603174019218
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,4,manual-c-p05,0.603174019218
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,5,manual-c-p02,0.600538916373
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,6,manual-c-p03,0.600538916373
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,7,manual-c-p06,0.600538916373
bm25,manual-c-p08-q01,text,manual-c-p08,evaluated_split_pages,8,manual-c-p07,0.600538916373
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,1,manual-c-p07,4.01964376174
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,2,manual-c-p01,0.444738306864
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,3,manual-c-p04,0.444738306864
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,4,manual-c-p05,0.444738306864
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,5,manual-c-p02,0.443012771695
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,6,manual-c-p03,0.443012771695
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,7,manual-c-p06,0.443012771695
bm25,manual-c-p08-q02,ocr_failure,manual-c-p08,evaluated_split_pages,8,manual-c-p08,0.443012771695
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,1,manual-c-p05,2.13324142194
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,2,manual-c-p01,0.360212469728
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,3,manual-c-p04,0.335712423115
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,4,manual-c-p02,0.334231061599
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,5,manual-c-p03,0.334231061599
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,6,manual-c-p06,0.334231061599
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,7,manual-c-p07,0.334231061599
bm25,manual-c-p08-q03,table,manual-c-p08,evaluated_split_pages,8,manual-c-p08,0.334231061599
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.0327868852459
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.0322580645161
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.031746031746
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,4,manual-c-p03,0.0310096153846
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,5,manual-c-p02,0.0307765151515
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,6,manual-c-p07,0.0303099885189
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,7,manual-c-p06,0.0298573975045
bm25_lexical_rrf,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.0296312554873
bm25_lexical_rrf,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.0327868852459
bm25_lexical_rrf,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.0322580645161
bm25_lexical_rrf,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.031746031746
bm25_lexical_rrf,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,4,manual-c-p03,0.0310096153846
